                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.84192,                0.65139,                0.87822,                0.82377,                0.83333,                0.80015,                 0.3726,                 2.0304,                 1.0739,                 1.2413,              0.0011882,              0.0011882,              0.0011882
                    125,                0.81822,                0.68372,                0.89008,                0.82377,                0.83333,                0.80015,                 0.3726,                 2.0304,                 1.0739,                 1.2413,              0.0011816,              0.0011816,              0.0011816
                    126,                0.74386,                0.60454,                0.86231,                 0.8259,                0.83333,                0.75204,                0.35863,                 1.9727,                  1.112,                  1.214,               0.001175,               0.001175,               0.001175
                    127,                0.78537,                0.65567,                0.85243,                0.82678,                0.83333,                0.77872,                0.37614,                 2.0122,                   1.16,                 1.2347,              0.0011684,              0.0011684,              0.0011684
                    128,                0.80315,                0.60548,                 0.8555,                0.83261,                0.82971,                0.81033,                0.37615,                 2.1631,                 1.2458,                   1.31,              0.0011618,              0.0011618,              0.0011618
                    129,                0.96911,                 0.6791,                0.92215,                0.83261,                0.82971,                0.81033,                0.37615,                 2.1631,                 1.2458,                   1.31,              0.0011552,              0.0011552,              0.0011552
                    130,                 0.7905,                0.65915,                0.87097,                0.83056,                0.81947,                0.84233,                0.38856,                 2.1661,                 1.2422,                 1.3231,              0.0011486,              0.0011486,              0.0011486
                    131,                0.77188,                0.60882,                0.87691,                 0.8306,                0.81967,                0.83894,                 0.4099,                 1.9776,                 1.1097,                 1.2538,               0.001142,               0.001142,               0.001142
                    132,                 0.7297,                0.64789,                0.82757,                0.83312,                0.83226,                  0.885,                0.41891,                 1.8123,                  1.056,                 1.2143,              0.0011354,              0.0011354,              0.0011354
                    133,                0.88544,                0.59966,                 0.8706,                0.83312,                0.83226,                  0.885,                0.41891,                 1.8123,                  1.056,                 1.2143,              0.0011288,              0.0011288,              0.0011288
                    134,                0.81703,                0.60708,                0.86289,                0.83138,                0.83333,                  0.885,                0.37492,                 1.8714,                 1.0768,                 1.2384,              0.0011222,              0.0011222,              0.0011222
                    135,                0.84836,                0.62241,                 0.8845,                0.83313,                0.83333,                  0.885,                0.36915,                 2.0366,                  1.141,                 1.2823,              0.0011156,              0.0011156,              0.0011156
                    136,                0.80468,                0.62173,                0.82603,                0.83191,                0.82624,                0.87433,                0.36406,                 2.1249,                 1.1059,                 1.3009,               0.001109,               0.001109,               0.001109
                    137,                0.83983,                0.61415,                0.86446,                0.83191,                0.82624,                0.87433,                0.36406,                 2.1249,                 1.1059,                 1.3009,              0.0011024,              0.0011024,              0.0011024
                    138,                0.81305,                0.63287,                0.85897,                0.69401,                0.83333,                0.83243,                0.38537,                 1.9748,                 1.0564,                  1.254,              0.0010958,              0.0010958,              0.0010958
                    139,                0.88764,                0.65557,                 0.8962,                0.70138,                0.83333,                0.82627,                0.41786,                 1.7915,                 1.0126,                 1.1909,              0.0010892,              0.0010892,              0.0010892
                    140,                0.75971,                0.56621,                0.86758,                0.83135,                0.82343,                0.83833,                0.42703,                 1.7077,                0.94404,                  1.165,              0.0010826,              0.0010826,              0.0010826
                    141,                0.76778,                 0.5771,                0.82427,                0.83135,                0.82343,                0.83833,                0.42703,                 1.7077,                0.94404,                  1.165,               0.001076,               0.001076,               0.001076
                    142,                0.77699,                0.55844,                0.81908,                0.83234,                0.82838,                0.84233,                0.42818,                 1.8152,                 0.9743,                 1.1885,              0.0010694,              0.0010694,              0.0010694
                    143,                0.92056,                0.65076,                0.91765,                0.83189,                0.82614,                0.85467,                0.40724,                 1.8969,                 1.0502,                 1.2057,              0.0010628,              0.0010628,              0.0010628
                    144,                0.87947,                0.59006,                0.88249,                0.83057,                0.81951,                0.82633,                0.35673,                  1.835,                  1.057,                 1.1769,              0.0010562,              0.0010562,              0.0010562
                    145,                0.72155,                0.57269,                0.87035,                0.83057,                0.81951,                0.82633,                0.35673,                  1.835,                  1.057,                 1.1769,              0.0010496,              0.0010496,              0.0010496
                    146,                0.71823,                0.59282,                0.85883,                0.67708,                0.83333,                0.80295,                0.39368,                 1.7675,                 1.0624,                 1.1507,               0.001043,               0.001043,               0.001043
                    147,                  0.756,                0.59573,                0.85601,                 0.8319,                0.82617,                0.82886,                 0.4039,                   1.76,                0.98694,                 1.1539,              0.0010364,              0.0010364,              0.0010364
                    148,                0.78604,                0.58958,                0.87179,                0.83176,                0.83333,                0.85238,                0.39757,                 1.8299,                 1.0233,                 1.1842,              0.0010298,              0.0010298,              0.0010298
                    149,                0.78868,                0.54862,                0.91922,                0.83176,                0.83333,                0.85238,                0.39757,                 1.8299,                 1.0233,                 1.1842,              0.0010232,              0.0010232,              0.0010232
                    150,                0.81428,                 0.5823,                0.84028,                0.82941,                0.83333,                0.85238,                0.40847,                 1.9841,                0.99396,                  1.306,              0.0010166,              0.0010166,              0.0010166
                    151,                0.76713,                0.55514,                0.83764,                0.82034,                0.83333,                0.84507,                0.36521,                 2.1166,                 1.0466,                 1.3764,                0.00101,                0.00101,                0.00101
                    152,                0.80984,                 0.5724,                0.86568,                0.81378,                0.83333,                0.84095,                0.37322,                 1.9633,                 1.0287,                 1.2828,              0.0010034,              0.0010034,              0.0010034
                    153,                 0.7329,                 0.5518,                0.84565,                0.81378,                0.83333,                0.84095,                0.37322,                 1.9633,                 1.0287,                 1.2828,              0.0009968,              0.0009968,              0.0009968
